SMA_3,SMA_5,SMA_8,SMA_10,SMA_12,SMA_13,SMA_15,SMA_20,SMA_26,SMA_30,SMA_35,SMA_40,SMA_45,SMA_50,SMA_60,SMA_70,SMA_80,SMA_90,SMA_100,SMA_110,SMA_120,SMA_130,SMA_140,SMA_150,SMA_160,SMA_170,SMA_180,SMA_190
3788.3333333333335,3788.4,3788.125,3788.1,3787.9166666666665,3787.6923076923076,3787.6,3787.95,3786.9615384615386,3787.0666666666666,3787.114285714286,3787.625,3619.3333333333335,3257.4,2714.5,2326.714285714286,2035.875,1809.6666666666667,1628.7,1480.6363636363637,1357.25,1252.8461538461538,1163.357142857143,1085.8,1017.9375,958.0588235294117,904.8333333333334,857.2105263157895
3792.3333333333335,3789.6,3789.375,3788.9,3788.9166666666665,3788.5384615384614,3788.133333333333,3788.6,3787.3076923076924,3787.4,3787.3142857142857,3787.725,3703.688888888889,3333.32,2777.766666666667,2380.942857142857,2083.325,1851.8444444444444,1666.66,1515.1454545454546,1388.8833333333334,1282.0461538461539,1190.4714285714285,1111.1066666666666,1041.6625,980.3882352941176,925.9222222222222,877.1894736842105
3795.0,3791.2,3790.125,3789.6,3789.3333333333335,3789.3846153846152,3788.733333333333,3788.75,3787.769230769231,3787.633333333333,3787.4857142857145,3787.8,3788.0222222222224,3409.22,2841.016666666667,2435.157142857143,2130.7625,1894.0111111111112,1704.61,1549.6454545454546,1420.5083333333334,1311.2384615384615,1217.5785714285714,1136.4066666666668,1065.38125,1002.7117647058824,947.0055555555556,897.1631578947369
3795.0,3793.2,3790.875,3790.4,3789.8333333333335,3789.6923076923076,3789.3333333333335,3788.9,3788.153846153846,3787.8,3787.714285714286,3787.85,3788.1555555555556,3485.1,2904.25,2489.3571428571427,2178.1875,1936.1666666666667,1742.55,1584.1363636363637,1452.125,1340.423076923077,1244.6785714285713,1161.7,1089.09375,1025.0294117647059,968.0833333333334,917.1315789473684
3793.0,3793.8,3790.875,3790.5,3790.0,3789.846153846154,3789.733333333333,3788.85,3788.4615384615386,3787.866666666667,3787.7714285714287,3787.85,3788.222222222222,3560.9,2967.4166666666665,2543.5,2225.5625,1978.2777777777778,1780.45,1618.590909090909,1483.7083333333333,1369.576923076923,1271.75,1186.9666666666667,1112.78125,1047.3235294117646,989.1388888888889,937.078947368421
3790.0,3792.2,3790.75,3790.3,3790.0,3789.6923076923076,3789.4666666666667,3788.75,3788.6153846153848,3787.8333333333335,3787.8,3787.75,3788.133333333333,3636.62,3030.516666666667,2597.5857142857144,2272.8875,2020.3444444444444,1818.31,1653.009090909091,1515.2583333333334,1398.7,1298.7928571428572,1212.2066666666667,1136.44375,1069.5941176470587,1010.1722222222222,957.0052631578948
3786.6666666666665,3789.8,3790.75,3789.7,3789.5833333333335,3789.5384615384614,3789.2,3788.55,3788.6153846153848,3787.866666666667,3787.7428571428572,3787.625,3787.9555555555557,3712.3,3093.5833333333335,2651.6428571428573,2320.1875,2062.3888888888887,1856.15,1687.409090909091,1546.7916666666667,1427.8076923076924,1325.8214285714287,1237.4333333333334,1160.09375,1091.8529411764705,1031.1944444444443,976.921052631579
3786.0,3788.4,3790.875,3789.8,3789.5833333333335,3789.4615384615386,3789.2,3788.65,3788.8076923076924,3788.0,3787.7428571428572,3787.6,3787.866666666667,3788.06,3156.7166666666667,2705.7571428571428,2367.5375,2104.4777777777776,1894.03,1721.8454545454545,1578.3583333333333,1456.946153846154,1352.8785714285714,1262.6866666666667,1183.76875,1114.1352941176472,1052.2388888888888,996.8578947368421
3787.3333333333335,3787.6,3790.375,3790.4,3789.5833333333335,3789.6153846153848,3789.4666666666667,3788.9,3788.730769230769,3788.266666666667,3787.7714285714287,3787.7,3787.822222222222,3788.1,3219.883333333333,2759.9,2414.9125,2146.588888888889,1931.93,1756.3,1609.9416666666666,1486.1,1379.95,1287.9533333333334,1207.45625,1136.429411764706,1073.2944444444445,1016.8052631578947
3787.3333333333335,3786.4,3788.875,3790.1,3789.3333333333335,3789.153846153846,3789.133333333333,3788.9,3788.4615384615386,3788.3333333333335,3787.657142857143,3787.6,3787.688888888889,3788.04,3282.95,2813.957142857143,2462.2125,2188.633333333333,1969.77,1790.7,1641.475,1515.2076923076922,1406.9785714285715,1313.18,1231.10625,1158.6882352941177,1094.3166666666666,1036.721052631579
3787.6666666666665,3787.0,3788.125,3789.6,3789.75,3789.3076923076924,3789.2,3788.85,3788.3846153846152,3788.5,3787.714285714286,3787.7,3787.6666666666665,3788.02,3346.1,2868.0857142857144,2509.575,2230.733333333333,2007.66,1825.1454545454546,1673.05,1544.3538461538462,1434.0428571428572,1338.44,1254.7875,1180.9764705882353,1115.3666666666666,1056.6631578947367
3786.3333333333335,3787.4,3787.125,3788.6,3789.6666666666665,3789.4615384615386,3788.9333333333334,3788.75,3788.3076923076924,3788.6,3787.8,3787.7,3787.6,3787.9,3409.2,2922.1714285714284,2556.9,2272.8,2045.52,1859.5636363636363,1704.6,1573.4769230769232,1461.0857142857142,1363.68,1278.45,1203.2470588235294,1136.4,1076.5894736842106
